ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,logo,website,twitter,twitterusername,facebook,instagram,video,strava,focus,email,post_images
706,Wild Bettys,"Wild Bettys is a women-focused cycling club in Toronto built around mountain bike rides. Expect weekly rides and a chapter-based community that gives riders more than one place to plug in. It keeps women riders at the center of the experience, which gives the whole thing a welcoming feel.",draft,1,gd_place,2026-04-14 18:49:47,2026-04-14 18:49:47,Women Only,",41,",41,0,,,Toronto,Ontario,Canada,,43.70643,-79.39864,,https://www.wildbettys.com/,https://twitter.com/wildbettys,wildbettys,https://www.facebook.com/wildbettys,https://www.instagram.com/wildbettys,https://www.youtube.com/user/WildBettys,,,,
,Saddle Sisters of High Park,"Saddle Sisters of High Park is a women-first ride group in Toronto built around road and gravel rides. Expect a community-minded atmosphere and a clear sense that riding together is the point. It keeps women riders at the center of the experience, which gives the whole thing a welcoming feel.",draft,1,gd_place,2026-04-14 18:49:47,2026-04-14 18:49:47,Women Only,",42,43,",42,0,,,Toronto,Ontario,Canada,,43.70643,-79.39864,,https://saddlesisters.ca/,,,,,,,,,
,Autobus Cycling Club,"Autobus Cycling Club is a mixed-gender cycling club with a clear women-relevant side in Toronto built around road rides. It’s run as a non-profit, so the emphasis is on community, consistency, and getting people out riding together.",draft,1,gd_place,2026-04-14 18:49:47,2026-04-14 18:49:47,Mixed Gender,",42,",42,0,,,Toronto,Ontario,Canada,,43.70643,-79.39864,,https://www.autobuscc.ca,https://twitter.com/autobuscc,autobuscc,https://www.facebook.com/JRAAutobus,http://instagram.com/jraautobus,,https://www.strava.com/clubs/autobuscc,,user@domain.com,
,Women's Cycling Network,"Women's Cycling Network is a women-first cycling program in Toronto built around regular cycling programs. Its mission leans hard into empowerment and access, using bikes as a way to build confidence and community. It keeps women riders at the center of the experience, which gives the whole thing a welcoming feel.",draft,1,gd_place,2026-04-14 18:49:47,2026-04-14 18:49:47,Women Only,",57,",57,0,,,Toronto,Ontario,Canada,,43.70643,-79.39864,,https://www.womenscyclingnetwork.ca/,https://twitter.com/WCN_GTA_tweets,WCN_GTA_tweets,,https://www.instagram.com/womenscyclingnetwork.gta,,,,womenscyclingnetwork.gta@gmail.com,
,Ottawa Women's Cycling Club,"Ottawa Women's Cycling Club is a women-focused cycling club in Ottawa built around road and gravel rides. Expect a community-minded atmosphere and a clear sense that riding together is the point. It keeps women riders at the center of the experience, which gives the whole thing a welcoming feel.",draft,1,gd_place,2026-04-14 19:23:17,2026-04-14 19:23:17,Women Only,",42,43,",42,0,,,Ottawa,Ontario,Canada,,45.41117,-75.69812,https://ottawawomenscyclingclub.ca/wp-content/uploads/2025/02/cropped-owcclogo-2-e1738800191988.png|||,https://ottawawomenscyclingclub.ca/faq/,,,https://www.facebook.com/groups/293820448247185,https://www.instagram.com/ottawawomenscyclingclub,,https://www.strava.com/clubs/OWCC,,,
737,Ottawa Bicycle Club,"Ottawa Bicycle Club is a mixed-gender cycling club with a clear women-relevant side in Ottawa built around road and gravel rides. Its women’s time trial series dates back to 1989, which gives the club a long-running role in developing riders.",draft,1,gd_place,2026-04-14 19:23:17,2026-04-14 19:23:17,Mixed Gender,",42,43,",42,0,,,Ottawa,Ontario,Canada,,45.41117,-75.69812,https://ottawabicycleclub.ca/wp-content/uploads/2022/11/OBCSquareBlue.jpg|||,https://ottawabicycleclub.ca/,http://twitter.com/ottbicycleclub,ottbicycleclub,http://www.facebook.com/OttawaBicycleClub,https://www.instagram.com/ottawabicycleclub,https://www.youtube.com/@ottawabicycleclub,https://www.strava.com/segments/25402352,,,https://ottawabicycleclub.ca/wp-content/uploads/2022/11/Gravel-1024x683.jpg|||::https://ottawabicycleclub.ca/wp-content/uploads/2022/11/GroupRidingClinic-1024x682.jpg|||
,MTB Chicks Women’s Rides (Ottawa Mountain Bike Association),"MTB Chicks Women’s Rides (Ottawa Mountain Bike Association) is a women-first cycling program in Ottawa built around mountain bike rides. Expect a community-minded atmosphere and a clear sense that riding together is the point. It keeps women riders at the center of the experience, which gives the whole thing a welcoming feel.",draft,1,gd_place,2026-04-14 19:23:17,2026-04-14 19:23:17,Women Only,",41,",41,0,,,Ottawa,Ontario,Canada,,45.41117,-75.69812,https://ottawamba.org/wp-content/uploads/2025/06/cropped-OMBA_AVMO_transparent_bg-copy.png|||,https://ottawamba.org/mtb-chicks-womens-rides/,,,https://www.facebook.com/ottawamba,https://www.instagram.com/ottawamountainbikeassociation,,,,mtbchicks@ottawamba.org,
,Quick Cranks,"Quick Cranks is a women-focused cycling club in Ottawa built around mountain bike, road, gravel, and cyclocross rides. Expect a community-minded atmosphere and a clear sense that riding together is the point. It keeps women riders at the center of the experience, which gives the whole thing a welcoming feel.",draft,1,gd_place,2026-04-14 19:23:17,2026-04-14 19:23:17,Women Only,",41,42,43,51,",41,0,,,Ottawa,Ontario,Canada,,45.41117,-75.69812,https://quickcranks.ca/cdn/shop/files/QuickCranks_Logo_Horizontal_Green.svg?v=1766931957&width=500|||,https://quickcranks.ca/fr/pages/quick-cranks-racing,,,https://Facebook.com/quickcranks,https://instagram.com/quickcranks,,,,,https://quickcranks.ca/cdn/shop/files/45nrth-home-banner-2-3544551-1920x640-2.jpg?v=1770409838&width=2048|||::https://quickcranks.ca/cdn/shop/files/quickcranks_gdp_race_team_gravel_biking.jpg?v=1768188350&width=2000|||
734,Brampton Cycling Club,"Brampton Cycling Club is a mixed-gender cycling club with a clear women-relevant side in Brampton built around road rides. Founded in 1972, it brings a long local history to the ride.",draft,1,gd_place,2026-04-14 19:23:17,2026-04-14 19:23:17,Mixed Gender,",42,",42,0,,,Brampton,Ontario,Canada,,43.68341,-79.76633,https://bramptoncyclingclub.com/wp-content/uploads/2023/02/BCC-logo-v4-3.png|||,https://bramptoncyclingclub.com,,,https://www.facebook.com/pages/Brampton-Cycling-Club/262675222866,https://www.instagram.com/brampton_cycling_club,,https://www.strava.com/clubs/brampton-cycling-club,,info@carbonink.ca,https://bramptoncyclingclub.com/wp-content/uploads/2022/09/side_photo_16.jpg|||
,Caledon Cycling Club,"Caledon Cycling Club is a mixed-gender cycling club with a clear women-relevant side in Caledon built around mountain bike, road, and gravel rides. Expect a community-minded atmosphere and a clear sense that riding together is the point. That regular cadence gives it the feel of a real club, not just a page on the internet.",draft,1,gd_place,2026-04-14 19:23:17,2026-04-14 19:23:17,Mixed Gender,",41,42,43,",41,0,,,Caledon,Ontario,Canada,,43.68341,-79.76633,https://caledoncyclingclub.wildapricot.org/resources/Pictures/CCC%20logo.svg|||,https://caledoncyclingclub.wildapricot.org/About-Us,,,https://www.facebook.com/groups/328052365873916,,,https://www.strava.com/clubs/134957,,caledoncyclingclub@gmail.com,https://caledoncyclingclub.wildapricot.org/resources/Pictures/CCC-Kids-MTB-banner.jpg|||::https://caledoncyclingclub.wildapricot.org/resources/Pictures/Event%20Images/Spring%20BBQ%202022.jpg|||
