ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,logo,website,twitter,twitterusername,facebook,instagram,video,strava,focus,email,post_images
,Autobus Cycling Club,"Autobus Cycling Club is a mixed-gender cycling club with a clear women-relevant side in Toronto built around road rides. It’s run as a non-profit, so the emphasis is on community, consistency, and getting people out riding together.",draft,1,gd_place,2026-04-14 18:49:47,2026-04-14 18:49:47,Mixed Gender,",42,",42,0,,,Toronto,Ontario,Canada,,43.70643,-79.39864,,https://www.autobuscc.ca,https://twitter.com/autobuscc,autobuscc,https://www.facebook.com/JRAAutobus,http://instagram.com/jraautobus,,https://www.strava.com/clubs/autobuscc,,user@domain.com,
,Quick Cranks,"Quick Cranks is a women-focused cycling club in Ottawa built around mountain bike, road, gravel, and cyclocross rides. Expect a community-minded atmosphere and a clear sense that riding together is the point. It keeps women riders at the center of the experience, which gives the whole thing a welcoming feel.",draft,1,gd_place,2026-04-14 19:23:17,2026-04-14 19:23:17,Women Only,",41,42,43,51,",41,0,,,Ottawa,Ontario,Canada,,45.41117,-75.69812,https://quickcranks.ca/cdn/shop/files/QuickCranks_Logo_Horizontal_Green.svg?v=1766931957&width=500|||,https://quickcranks.ca/fr/pages/quick-cranks-racing,,,https://Facebook.com/quickcranks,https://instagram.com/quickcranks,,,,,https://quickcranks.ca/cdn/shop/files/45nrth-home-banner-2-3544551-1920x640-2.jpg?v=1770409838&width=2048|||::https://quickcranks.ca/cdn/shop/files/quickcranks_gdp_race_team_gravel_biking.jpg?v=1768188350&width=2000|||
,Brampton Cycling Club,"Brampton Cycling Club is a mixed-gender cycling club with a clear women-relevant side in Brampton built around road rides. Founded in 1972, it brings a long local history to the ride.",draft,1,gd_place,2026-04-14 19:23:17,2026-04-14 19:23:17,Mixed Gender,",42,",42,0,,,Brampton,Ontario,Canada,,43.68341,-79.76633,https://bramptoncyclingclub.com/wp-content/uploads/2023/02/BCC-logo-v4-3.png|||,https://bramptoncyclingclub.com,,,https://www.facebook.com/pages/Brampton-Cycling-Club/262675222866,https://www.instagram.com/brampton_cycling_club,,https://www.strava.com/clubs/brampton-cycling-club,,info@carbonink.ca,https://bramptoncyclingclub.com/wp-content/uploads/2022/09/side_photo_16.jpg|||
,Caledon Cycling Club,"Caledon Cycling Club is a mixed-gender cycling club with a clear women-relevant side in Caledon built around mountain bike, road, and gravel rides. Expect a community-minded atmosphere and a clear sense that riding together is the point. That regular cadence gives it the feel of a real club, not just a page on the internet.",draft,1,gd_place,2026-04-14 19:23:17,2026-04-14 19:23:17,Mixed Gender,",41,42,43,",41,0,,,Caledon,Ontario,Canada,,43.68341,-79.76633,https://caledoncyclingclub.wildapricot.org/resources/Pictures/CCC%20logo.svg|||,https://caledoncyclingclub.wildapricot.org/About-Us,,,https://www.facebook.com/groups/328052365873916,,,https://www.strava.com/clubs/134957,,caledoncyclingclub@gmail.com,https://caledoncyclingclub.wildapricot.org/resources/Pictures/CCC-Kids-MTB-banner.jpg|||::https://caledoncyclingclub.wildapricot.org/resources/Pictures/Event%20Images/Spring%20BBQ%202022.jpg|||
,Common Empire,"Common Empire is an Ottawa cycling community that runs recurring group rides and events, including a weekly women’s-only ride designed to connect women cyclists in the city. The broader program mixes road rides, gravel adventures, coffee spins, and even bikepacking, with a friendly community feel and a strong emphasis on getting outside together. It’s less a single race team and more a welcoming ride network built around shared adventures on two wheels.",draft,1,gd_place,2026-04-15 11:59:32,2026-04-15 11:59:32,Women Only,",42,43,50,",42,0,,,Ottawa,Ontario,Canada,,45.41117,-75.69812,http://static1.squarespace.com/static/68ee4b059998b46ad8af1555/t/68f58bd76aae337867c92170/1760922583903/CE-Logo.png?format=1500w|||,https://www.commonempire.com,,,https://www.facebook.com/commonempire,https://www.instagram.com/commonempire,,https://www.strava.com/clubs/516841,,info@commonempire.com,
,New Hope Community Bikes,"Tour de Cafe is a women-focused novice road ride run by New Hope Community Bikes in Hamilton. It’s a recurring social ride with a strong beginner-friendly and cycling-safety emphasis, ending with a coffee stop and a welcoming community feel. The program is designed to help women build confidence on the bike in a supportive group setting.",draft,1,gd_place,2026-04-15 11:59:32,2026-04-15 11:59:32,Women Only,",42,",42,0,,,Hamilton,Ontario,Canada,,43.25011,-79.84963,https://images.squarespace-cdn.com/content/v1/5e10bd787524d75d5e203b79/cdd2480c-5757-41d3-bf53-6973c8016d38/corporate-logo-black.png|||,https://www.newhopecommunitybikes.com,,,https://www.facebook.com/share/g/163vLaE4ov,https://www.instagram.com/everyoneridesinitiative,,,,user@domain.com,
,LapDogs Cycling Club,"LapDogs Cycling Club is a Toronto-based, volunteer-run cycling club that has been rolling since 2003, with social rides, clinics, and race support across road, gravel, mountain biking, cyclocross, and track. Its mentor and first-ride chaperone offerings specifically aim to welcome more women and gender-diverse riders, making the club especially relevant to women looking for a supportive entry point into group riding. The overall vibe is inclusive, community-minded, and built around riding together and having fun.",draft,1,gd_place,2026-04-15 12:25:36,2026-04-15 12:25:36,Mixed Gender,",41,42,43,49,51,",41,0,,,Toronto,Ontario,Canada,,43.70643,-79.39864,https://static1.squarespace.com/static/55218b71e4b01b8a469d9519/t/698a5180edc0271e4e09ba23/1776266181706/|||,https://www.lapdogs.ca,https://twitter.com/LapDogsCycling,LapDogsCycling,http://www.facebook.com/LapDogsCyclingClub,https://www.instagram.com/lapdogscyclingclub,,,,info@lapdogs.ca,http://static1.squarespace.com/static/55218b71e4b01b8a469d9519/5c81d189fa0d607755ec2869/6828ba7e8834bf1888426061/1748373034372/LDCC_Calendar_Ride_WomenTry_Gravel.jpg?format=1500w|||
,Saddle Sisters of High Park,"Saddle Sisters of High Park is a lively Toronto ride community that grew out of a small pandemic-era group and now brings together more than 300 riders. It centers women and welcomes trans, femme, and non-binary cyclists, with organized morning rides, beginner-friendly sessions, and social-paced outings that keep the group rolling together. The mix includes road rides, gravel/trail sessions, skills practice, and occasional race-team activity, all built around a supportive no-drop feel.",draft,1,gd_place,2026-04-16 13:50:26,2026-04-16 13:50:26,Women Only,",42,43,",42,0,,,Toronto,Ontario,Canada,,43.70643,-79.39864,https://saddlesisters.ca/sshp/SSHPlogo-min.png|||,https://saddlesisters.ca/rides,,,,,,,,,https://saddlesisters.ca/static/js/sshp/homepage.jpg|||
,Women's Cycling Network,"Women’s Cycling Network is a Toronto-based community built to help women feel safer and more confident on bikes. Founded in 2017, it brings together new riders and experienced cyclists through advocacy, education, group rides, and city-exploring outings, with a strong focus on empowerment and access. The site also highlights bike-match support that helps women get a bike to ride.",draft,1,gd_place,2026-04-16 13:50:26,2026-04-16 13:50:26,Women Only,",57,",57,0,,,Toronto,Ontario,Canada,,43.70643,-79.39864,https://www.womenscyclingnetwork.ca/asset/image/cycleto-logo.png|||,https://www.womenscyclingnetwork.ca/,https://twitter.com/WCN_GTA_tweets,WCN_GTA_tweets,,https://www.instagram.com/womenscyclingnetwork.gta,,,,womenscyclingnetwork.gta@gmail.com,
,NCR Spoke Sisters,"NCR Spoke Sisters is a women-focused road cycling club in Ottawa, built for female-identifying cyclists who want a safe, friendly, and encouraging place to ride. The club says it welcomes beginners through advanced riders, runs no-drop rides, and offers programs, clinics, and challenges to help members build skills, confidence, and community. ([spokesisters.ca](https://www.spokesisters.ca/))",draft,1,gd_place,2026-04-16 13:50:26,2026-04-16 13:50:26,Women Only,",42,",42,0,,,Ottawa,Ontario,US,,45.41117,-75.69812,"https://static.wixstatic.com/media/e78584_b0dbcd3439f04273a72afbee70eed7eb~mv2.png/v1/fill/w_100,h_78,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Spoke_Sisters_Logo.png|||",https://www.spokesisters.ca/group-ride-program,,,https://www.facebook.com/ncrspokessisters,https://www.instagram.com/spokesisters,,,,info@spokesisters.ca,
